Data file path DATASET/Iris/data.txt
Data load is started
Data load is complete
Data process is started
Data process is completed
Calculating mean and standard deviation for training data..
Mean and standard deviation are calculated
Normalization is started
Normalization is completed
Network creation is started
Network is created
The number of total samples: 150 
The number of train samples: 120 
The number of test samples: 30 
Input dimension: 4 
The number of unique labels: 3 
Initial learning rate: 0.010000 
Alpha: 0.050000 
The number of epochs: 100 
Training is started
Epoch = 1	 Lrate = 0.010000	 Error = 61.046194
Epoch = 2	 Lrate = 0.010000	 Error = 49.635514
Epoch = 3	 Lrate = 0.010000	 Error = 48.305852
Epoch = 4	 Lrate = 0.010000	 Error = 47.552210
Epoch = 5	 Lrate = 0.010000	 Error = 46.999185
Epoch = 6	 Lrate = 0.010000	 Error = 46.555796
Epoch = 7	 Lrate = 0.010000	 Error = 46.171333
Epoch = 8	 Lrate = 0.010000	 Error = 45.748891
Epoch = 9	 Lrate = 0.010000	 Error = 45.141307
Epoch = 10	 Lrate = 0.006667	 Error = 44.690209
Epoch = 11	 Lrate = 0.006667	 Error = 44.286771
Epoch = 12	 Lrate = 0.006667	 Error = 44.088008
Epoch = 13	 Lrate = 0.006667	 Error = 43.923465
Epoch = 14	 Lrate = 0.006667	 Error = 43.811570
Epoch = 15	 Lrate = 0.006667	 Error = 43.707583
Epoch = 16	 Lrate = 0.006667	 Error = 43.620252
Epoch = 17	 Lrate = 0.006667	 Error = 43.536430
Epoch = 18	 Lrate = 0.006667	 Error = 43.455838
Epoch = 19	 Lrate = 0.006667	 Error = 43.292375
Epoch = 20	 Lrate = 0.004444	 Error = 42.948833
Epoch = 21	 Lrate = 0.004444	 Error = 42.667428
Epoch = 22	 Lrate = 0.004444	 Error = 42.559880
Epoch = 23	 Lrate = 0.004444	 Error = 42.406579
Epoch = 24	 Lrate = 0.004444	 Error = 42.076377
Epoch = 25	 Lrate = 0.004444	 Error = 41.647516
Epoch = 26	 Lrate = 0.004444	 Error = 40.672643
Epoch = 27	 Lrate = 0.004444	 Error = 38.344643
Epoch = 28	 Lrate = 0.004444	 Error = 36.706645
Epoch = 29	 Lrate = 0.004444	 Error = 35.449157
Epoch = 30	 Lrate = 0.002963	 Error = 33.372414
Epoch = 31	 Lrate = 0.002963	 Error = 31.438596
Epoch = 32	 Lrate = 0.002963	 Error = 30.040047
Epoch = 33	 Lrate = 0.002963	 Error = 28.736519
Epoch = 34	 Lrate = 0.002963	 Error = 27.544961
