Data file path DATASET/Wine/data.txt
Data load is started
Data load is complete
Data process is started
Data process is completed
Calculating mean and standard deviation for training data..
Mean and standard deviation are calculated
Normalization is started
Normalization is completed
Network creation is started
Network is created
The number of total samples: 178 
The number of train samples: 143 
The number of test samples: 35 
Input dimension: 13 
The number of unique labels: 3 
Initial learning rate: 3.000000 
Alpha: 0.050000 
The number of epochs: 100 
Training is started
Epoch = 1	 Lrate = 3.000000	 Error = 30.032517
Epoch = 2	 Lrate = 3.000000	 Error = 6.537791
Epoch = 3	 Lrate = 3.000000	 Error = 3.441999
Epoch = 4	 Lrate = 3.000000	 Error = 2.206663
Epoch = 5	 Lrate = 3.000000	 Error = 2.452260
Epoch = 6	 Lrate = 3.000000	 Error = 1.426201
Epoch = 7	 Lrate = 3.000000	 Error = 1.260484
Epoch = 8	 Lrate = 3.000000	 Error = 1.152328
Epoch = 9	 Lrate = 3.000000	 Error = 0.968881
Epoch = 10	 Lrate = 3.000000	 Error = 0.740657
Epoch = 11	 Lrate = 3.000000	 Error = 0.579407
Epoch = 12	 Lrate = 3.000000	 Error = 0.461296
Epoch = 13	 Lrate = 3.000000	 Error = 0.367888
Epoch = 14	 Lrate = 3.000000	 Error = 0.297163
Epoch = 15	 Lrate = 3.000000	 Error = 0.247354
Epoch = 16	 Lrate = 3.000000	 Error = 0.212107
Epoch = 17	 Lrate = 3.000000	 Error = 0.186236
Epoch = 18	 Lrate = 3.000000	 Error = 0.166449
Epoch = 19	 Lrate = 3.000000	 Error = 0.150774
Epoch = 20	 Lrate = 3.000000	 Error = 0.138004
Epoch = 21	 Lrate = 3.000000	 Error = 0.127365
Epoch = 22	 Lrate = 3.000000	 Error = 0.118342
Epoch = 23	 Lrate = 3.000000	 Error = 0.110577
Epoch = 24	 Lrate = 3.000000	 Error = 0.103812
Epoch = 25	 Lrate = 3.000000	 Error = 0.097859
Epoch = 26	 Lrate = 3.000000	 Error = 0.092573
Epoch = 27	 Lrate = 3.000000	 Error = 0.087845
Epoch = 28	 Lrate = 3.000000	 Error = 0.083588
Epoch = 29	 Lrate = 3.000000	 Error = 0.079732
Epoch = 30	 Lrate = 3.000000	 Error = 0.076222
Epoch = 31	 Lrate = 3.000000	 Error = 0.073013
Epoch = 32	 Lrate = 3.000000	 Error = 0.070065
Epoch = 33	 Lrate = 3.000000	 Error = 0.067348
Epoch = 34	 Lrate = 3.000000	 Error = 0.064835
Epoch = 35	 Lrate = 3.000000	 Error = 0.062504
Epoch = 36	 Lrate = 3.000000	 Error = 0.060334
Epoch = 37	 Lrate = 3.000000	 Error = 0.058310
Epoch = 38	 Lrate = 3.000000	 Error = 0.056418
Epoch = 39	 Lrate = 3.000000	 Error = 0.054644
Epoch = 40	 Lrate = 3.000000	 Error = 0.052977
Epoch = 41	 Lrate = 3.000000	 Error = 0.051409
Epoch = 42	 Lrate = 3.000000	 Error = 0.049930
Epoch = 43	 Lrate = 3.000000	 Error = 0.048533
Epoch = 44	 Lrate = 3.000000	 Error = 0.047211
Epoch = 45	 Lrate = 3.000000	 Error = 0.045959
Epoch = 46	 Lrate = 3.000000	 Error = 0.044770
Epoch = 47	 Lrate = 3.000000	 Error = 0.043641
Epoch = 48	 Lrate = 3.000000	 Error = 0.042567
Epoch = 49	 Lrate = 3.000000	 Error = 0.041543
Epoch = 50	 Lrate = 3.000000	 Error = 0.040567
Epoch = 51	 Lrate = 3.000000	 Error = 0.039635
